NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
3008,KGM,Kingham,South East,West Oxfordshire,Witney,425637,222699,Great Western Railway,,,,J.11,Cotswolds Line,Western,,43610,105614,35036,184260,184218,,,,,
6121,KGX,King's Cross,London,Camden (London),Holborn and St. Pancras,530300,183000,Network Rail,LONDON BR,,London Travelcard Area Station,G.01,Kings Cross - Peterborough,London North East and East Midlands,,5599578,20153446,8063372,33816396,33361696,3472998.252,,,,
1392,KGL,King's Langley,East,Three Rivers,St. Albans,508000,202000,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,219934,209940,318968,748842,731266,,,,,
7115,KLN,King's Lynn,East,King's Lynn and West Norfolk,North West Norfolk,562301,320076,Govia Thameslink Railway,,,,D.06,Ely - Kings Lynn,Anglia,,215762,615650,166904,998316,973660,578.5937,,,,
5565,KNG,Kingston,London,Kingston upon Thames (London),Kingston and Surbiton,518242,169561,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,1531152,2279822,1629190,5440164,5615666,,,,,
5366,KND,Kingswood,South East,Reigate and Banstead,Reigate,524815,156585,Govia Thameslink Railway,,,London Travelcard Area Station,B.11,Tattenham Corner and Caterham Lines,South East,,79564,67378,119674,266616,328778,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3073,KIT,Kintbury,South East,West Berkshire,Newbury,438635,167200,Great Western Railway,,,,J.06,Newbury - Cogload Jcn,Western,,12094,52160,35230,99484,93092,,,,,
6862,KBX,Kirby Cross,East,Tendring,Clacton,621566,220753,Greater Anglia,,,,D.16,Walton and Clacton Branches,Anglia,,6670,12734,26928,46332,41618,,1,,,
6088,KBW,Knebworth,East,North Hertfordshire,Stevenage,524908,220250,Govia Thameslink Railway,,,,G.01,Kings Cross - Peterborough,London North East and East Midlands,,170966,156028,266678,593672,589806,,,,,
5109,KCK,Knockholt,London,Bromley (London),Orpington,548500,162900,Southeastern,,,London Travelcard Area Station,A.04,Chislehurst - Tonbridge,South East,,70926,52214,149592,272732,287418,,,,,
5057,LAD,Ladywell,London,Lewisham (London),"Lewisham, Deptford",537730,174890,Southeastern,,,London Travelcard Area Station,B.05,Brighton - Havant,South East,,306026,367322,618114,1291462,1322978,,,,,
7445,LAI,Laindon,East,Basildon,South Basildon and East Thurrock,568118,188190,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,745564,437300,1019168,2202032,2072928,,,,,
5504,LKE,Lake,South East,Isle of Wight,Isle of Wight,459038,83308,South West Trains (Island Line),,,,C.10,Isle of Wight,Wessex,Island Line,37652,5296,10838,53786,52310,,,,,
7201,LAK,Lakenheath,East,Forest Heath,West Suffolk,572390,286293,Greater Anglia,,,,D.09,Ely - Norwich,Anglia,,168,328,22,518,416,,,,,
5275,LAC,Lancing,South East,Adur,East Worthing and Shoreham,518200,104400,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,164064,341592,245716,751372,966792,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3171,LNY,Langley,South East,Slough,Slough,501300,179800,Great Western Railway,,,,J.02,Heathrow Airport Jcn - Reading,Western,,198622,231458,387506,817586,796614,,,,,
6927,LEB,Lea Bridge,London,Waltham Forest,Walthamstow,536176,187123,Greater Anglia,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,73986,92010,148990,314986,0,,,1,"New station, May 2016",http://www.standard.co.uk/news/transport/lea-bridge-station-reopens-after-31-years-and-is-hit-by-rush-hour-train-delays-a3249556.html
1534,LEA,Leagrave,East,Luton,Luton North,506145,224080,Govia Thameslink Railway,,,,I.01,St Pancras - Bedford,London North East and East Midlands,,272868,790618,798426,1861912,1914952,,,,,
5368,LHD,Leatherhead,South East,Mole Valley,Mole Valley,516300,156840,Govia Thameslink Railway,,,,B.08,South Central Sutton Lines,South East,,606686,506482,913348,2026516,2171492,54269.6655,,,,
5110,LEE,Lee,London,Lewisham (London),Lewisham East,540010,174230,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,369508,418382,916134,1704024,1733126,,,,,
5294,LIH,Leigh (Kent),South East,Sevenoaks,Tonbridge and Malling,554555,146175,Govia Thameslink Railway,,,,B.15,Redhill - Tonbridge,South East,,6750,11378,26230,44358,48452,,,,,
7446,LES,Leigh-On-Sea,East,Southend-on-Sea,Southend West,583200,185790,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,730248,565306,1045474,2341028,2206454,,,,,
1373,LBZ,Leighton Buzzard,East,Central Bedfordshire,South West Bedfordshire,491091,225024,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,273400,595964,971554,1840918,1788662,,,,,
5111,LEN,Lenham,South East,Maidstone,Faversham and Mid Kent,589130,151850,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,21942,32040,40974,94956,98380,,,,,
6089,LET,Letchworth,East,North Hertfordshire,North East Hertfordshire,521712,232758,Govia Thameslink Railway,,,,G.04,Hitchin - Cambridge,London North East and East Midlands,,511700,683168,695248,1890116,1861902,,,,,
5329,LWS,Lewes,South East,Lewes,Lewes,541621,109830,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,397738,1036536,808096,2242370,2614394,415312.9934,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5051,LEW,Lewisham,London,Lewisham (London),"Lewisham, Deptford",538050,175950,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,2052556,2738870,5957492,10748918,10595486,3756220.838,,,,
7402,LEM,Leyton Midland Road,London,Waltham Forest (London),Leyton and Wanstead,538150,187530,London Overground,,,London Travelcard Area Station,E.04,Gospel Oak - Woodgrange Park,Anglia,,66864,88786,130970,286620,1340438,,1,,Gospel Oak to Barking Electrification works since Summer 2016,https://www.networkrail.co.uk/running-the-railway/our-routes/anglia/gospel-oak-barking-electrification/
7403,LER,Leytonstone High Road,London,Waltham Forest (London),Leyton and Wanstead,539310,186875,London Overground,,,London Travelcard Area Station,E.04,Gospel Oak - Woodgrange Park,Anglia,,51524,69272,89700,210496,977634,,1,,Gospel Oak to Barking Electrification works since Summer 2016,https://www.networkrail.co.uk/running-the-railway/our-routes/anglia/gospel-oak-barking-electrification/
1579,LID,Lidlington,East,Central Bedfordshire,Mid Bedfordshire,498936,239106,London Midland Trains,,,,N.12,Bletchley - Bedford,London North Western,,2042,10232,15052,27326,25794,,,,,
7491,LHS,Limehouse,London,Tower Hamlets (London),Poplar and Limehouse,536120,181111,c2c,,,London Travelcard Area Station,F.01,Fenchurch Street - Shoeburyness,Anglia,,1165412,689450,1584356,3439218,3100736,,1,,,
5369,LFD,Lingfield,South East,Tandridge,East Surrey,539400,143800,Govia Thameslink Railway,,,,B.12,East Grinstead Line,South East,,80930,140018,352270,573218,615908,,,,,
7305,LGD,Lingwood,East,Broadland,Broadland,636317,308423,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,16224,20560,12424,49208,45502,,,,,
5634,LIP,Liphook,South East,East Hampshire,East Hampshire,484156,130905,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,104660,148332,274110,527102,511796,,,,,
5635,LIS,Liss,South East,East Hampshire,East Hampshire,477712,127718,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,57032,90718,92348,240098,236142,,,,,
3066,LTK,Little Kimble,South East,Wycombe,Buckingham,482349,206620,Chiltern Railways,,,,M.04,Princes Risborough - Aylesbury,London North Western,,2010,1608,1668,5286,4918,,,,,
5260,LIT,Littlehampton,South East,Arun,Bognor Regis and Littlehampton,502540,102180,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,116316,393546,344524,854386,1030250,2694.5489,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5498,LVN,Littlehaven,South East,Horsham,Horsham,518621,132520,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,63186,75398,130416,269000,315700,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
7072,LTP,Littleport,East,East Cambridgeshire,North East Cambridgeshire,557480,287460,Govia Thameslink Railway,,,,D.06,Ely - Kings Lynn,Anglia,,48700,74502,119612,242814,229628,,,,,
6965,LST,Liverpool Street,London,City and County of the City of London,Cities of London and Westminster,533216,181641,Network Rail,LONDON BR,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,15835902,18082722,33420594,67339218,66556690,2745129.343,,,,
5148,LBG,London Bridge,London,Southwark (London),Bermondsey and Old Southwark,532930,180190,Network Rail,LONDON BR,,London Travelcard Area Station,A.03,London - Chislehurst,South East,,9742640,13477512,24654098,47874250,53850938,1986739.823,1,,Ongoing Thameslink works,http://www.thameslinkprogramme.co.uk/key-dates-and-service-changes
6966,LOF,London Fields,London,Hackney (London),Hackney South and Shoreditch,534790,184260,London Overground,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,345486,528698,456814,1330998,1184294,,1,,,
5281,LRB,London Road Brighton,South East,The City of Brighton and Hove,"Brighton, Pavilion",531315,105780,Govia Thameslink Railway,BRIGHTON BR,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,94644,201360,86598,382602,504018,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5632,LRD,London Road Guildford,South East,Guildford,Guildford,500264,150030,South West Trains,GUILDFORD BR,,,C.07,Main Line Suburban Lines,Wessex,,161144,115826,291808,568778,581766,,,,,
5674,LNG,Longcross,South East,Runnymede,Runnymede and Weybridge,497897,166062,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,11456,468,3066,14990,16058,,,,,
5114,LGF,Longfield,South East,Dartford,Dartford,560129,168857,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,101862,192980,334638,629480,633490,,,,,
5082,LGJ,Loughborough Junction,London,Lambeth (London),Dulwich and West Norwood,531925,175855,Govia Thameslink Railway,,,London Travelcard Area Station,B.14,Thameslink Routes,South East,,221918,262034,370874,854826,892254,,,,,
5053,LSY,Lower Sydenham,London,Lewisham (London),Lewisham West and Penge,536830,171370,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,158778,175536,250796,585110,578008,,,,,
7268,LWT,Lowestoft,East,Waveney,Waveney,654747,292890,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,106274,282174,61416,449864,455434,6208.6971,,,,
1536,LUT,Luton,East,Luton,Luton South,509259,221604,Govia Thameslink Railway,,,,I.01,St Pancras - Bedford,London North East and East Midlands,,607824,1901020,1173950,3682794,3626272,133921.6898,,,,
3645,LTN,Luton Airport Parkway,East,Luton,Luton South,510533,220534,Govia Thameslink Railway,,,,I.01,St Pancras - Bedford,London North East and East Midlands,,1988648,1329824,501340,3819812,3188146,126468.3054,1,,"Passenger growth at Luton Airport, increased rail mode share",http://www.london-luton.co.uk/corporate/lla-publications/statistics
5892,LYP,Lymington Pier,South East,New Forest,New Forest East,433287,95517,South West Trains,LYMINGTON BR,,,C.05,Lymington Branch,Wessex,Lymington Line,26998,74882,26698,128578,130860,,,,,
5887,LYT,Lymington Town,South East,New Forest,New Forest West,432741,95804,South West Trains,LYMINGTON BR,,,C.05,Lymington Branch,Wessex,Lymington Line,73608,140922,50356,264886,255144,,,,,
3147,MAI,Maidenhead,South East,Windsor and Maidenhead,Maidenhead,488725,180745,Great Western Railway,,,,J.02,Heathrow Airport Jcn - Reading,Western,,977978,1578534,2052600,4609112,4459110,486431.4205,,,,
5237,MDB,Maidstone Barracks,South East,Maidstone,Maidstone and The Weald,575440,156115,Southeastern,MAIDSTONE BR,,,A.11,Strood - Paddock Wood,South East,,55514.93195,99294.87207,116900.2061,271710.0101,266521.8992,55209.3303,,,,
5115,MDE,Maidstone East,South East,Maidstone,Maidstone and The Weald,575949,156206,Southeastern,MAIDSTONE BR,,,A.05,Chislehurst - Ashford,South East,,278627.2079,498356.9645,586717.427,1363701.599,1337662.68,28222.775,,,,
5222,MDW,Maidstone West,South East,Maidstone,Maidstone and The Weald,575592,155374,Southeastern,MAIDSTONE BR,,,A.11,Strood - Paddock Wood,South East,,172971.8601,309380.1635,364234.367,846586.3905,830421.4209,74067.3478,,,,
5599,MAL,Malden Manor,London,Kingston upon Thames (London),Kingston and Surbiton,521090,166510,South West Trains,,,London Travelcard Area Station,C.07,Main Line Suburban Lines,Wessex,,126126,117632,218270,462028,456298,,,,,
7165,MNE,Manea,East,Fenland,North East Cambridgeshire,547928,291110,Greater Anglia,,,,D.07,Peterborough - Stowmarket,Anglia,,6306,3962,3184,13452,12020,,1,,,
6856,MNG,Manningtree,East,Tendring,Harwich and North Essex,609374,232220,Greater Anglia,,,,D.11,Shenfield - Ipswich,Anglia,,193146,365920,509576,1068642,1124876,323425.8482,,,,
6883,MNP,Manor Park,London,Newham (London),East Ham,541973,185716,TfL Rail,,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,442590,761532,1169666,2373788,2788910,,1,,,
7166,MCH,March,East,Fenland,North East Cambridgeshire,541857,297838,Greater Anglia,,,,D.07,Peterborough - Stowmarket,Anglia,,109802,159438,126710,395950,386610,14.8026,,,,
5223,MRN,Marden,South East,Maidstone,Maidstone and The Weald,574375,144725,Southeastern,,,,A.14,Tonbridge - Continental Jcn,South East,,59590,132232,334998,526820,497772,,,,,
5018,MAR,Margate,South East,Thanet,North Thanet,634720,170550,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,113358,557062,222504,892924,829222,6683.1185,,,,
6863,MKT,Marks Tey,East,Colchester,Witham,591668,223925,Greater Anglia,,,,D.11,Shenfield - Ipswich,Anglia,Gainsborough Line,78420,101318,377718,557456,523218,358275.5788,,,,
3021,MLW,Marlow,South East,Wycombe,Beaconsfield,485590,186512,Great Western Railway,,,,J.13,Marlow Branch,Western,,67186,99612,109390,276188,278618,,,,,
5040,MTM,Martin Mill,South East,Dover,Dover,634155,146600,Southeastern,,,,A.12,East Kent Routes,South East,,5880,16974,21800,44654,43104,,,,,
5692,MAO,Martins Heron,South East,Bracknell Forest,Bracknell,488820,168370,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,172384,200062,213784,586230,588416,,,,,
6970,MYL,Maryland,London,Newham (London),West Ham,539183,184927,TfL Rail,,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,254738,460142,535206,1250086,1475574,,1,,,
1475,MYB,Marylebone,London,City of Westminster (London),Cities of London and Westminster,527550,182000,Chiltern Railways,LONDON BR,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,,3171458,7745314,5750164,16666936,15932954,637393.6074,,,,
5149,MZH,Maze Hill,London,Greenwich (London),Greenwich and Woolwich,539175,177865,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,226474,242562,364606,833642,1006858,,1,,London Bridge works,http://www.thameslinkprogramme.co.uk/key-dates-and-service-changes
7036,MEL,Meldreth,East,South Cambridgeshire,South Cambridgeshire,537730,245500,Govia Thameslink Railway,,,,G.04,Hitchin - Cambridge,Anglia,,70150,72602,127182,269934,278044,,,,,
7221,MES,Melton,East,Suffolk Coastal,Suffolkastal,628710,250380,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,16934,36372,15034,68340,63510,,,,,
5116,MEP,Meopham,South East,Gravesham,Gravesham,564100,167900,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,57582,102938,162042,322562,327118,,,,,
5475,MHM,Merstham,South East,Reigate and Banstead,Reigate,529155,153291,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,116038,156244,366354,638636,727786,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5908,MIC,Micheldever,South East,Winchester,Winchester,451772,142833,South West Trains,,,,C.03,Basingstoke - Southampton,Wessex,,27144,38356,108568,174068,167616,,,,,
3159,MDG,Midgham,South East,West Berkshire,Newbury,457305,166647,Great Western Railway,,,,J.05,Reading - Newbury,Western,,9180,19064,8166,36410,34772,,,,,
5644,MLF,Milford (Surrey),South East,Waverley,South West Surrey,495406,141335,South West Trains,,,,C.06,Woking - Portsmouth,Wessex,,74206,60858,155728,290792,280252,,,,,
1527,MIL,Mill Hill Broadway,London,Barnet (London),Hendon,521320,191925,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,,543546,576098,764152,1883796,1948968,,,,,
1537,MLB,Millbrook (Bedfordshire),East,Central Bedfordshire,Mid Bedfordshire,500707,240510,London Midland Trains,,,,C.04,Southampton - Weymouth,London North Western,,2110,4956,6588,13654,16084,,1,,,
5909,MBK,Millbrook (Hampshire),South East,City of Southampton,"Southampton, Test",439900,112600,South West Trains,,,,C.01,Waterloo - Woking,Wessex,,13886,7768,18516,40170,38596,,,,,
1378,MKC,Milton Keynes Central,South East,Milton Keynes,Milton Keynes North,484189,238029,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,1220966,3398572,2231786,6851324,6835570,458214.6056,,,,
5019,MSR,Minster,South East,Thanet,North Thanet,631192,164122,Southeastern,,,,A.12,East Kent Routes,South East,,16640,26982,23174,66796,61952,2517.1069,,,,
6906,MIS,Mistley,East,Tendring,Harwich and North Essex,611884,231722,Greater Anglia,,,,D.15,Harwich Branch,Anglia,,8742,20954,47910,77606,77110,,,,,
5069,MTC,Mitcham Eastfields,London,Merton (London),Mitcham and Morden,528445,169250,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,276128,322866,780514,1379508,1538936,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5427,MIJ,Mitcham Junction,London,Merton (London),Mitcham and Morden,528270,167600,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,124848,136734,221630,483212,552622,3447.1001,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3067,MRS,Monks Risborough,South East,Wycombe,Buckingham,480937,204765,Chiltern Railways,,,,M.04,Princes Risborough - Aylesbury,London North Western,,5698,5574,8680,19952,24264,,1,,,
6005,MOG,Moorgate,London,City and County of the City of London,Cities of London and Westminster,532693,181683,Govia Thameslink Railway,LONDON BR,,London Travelcard Area Station,G.02,Moorgate Branch,London North East and East Midlands,,2472728,2621448,5739802,10833978,8849564,778076.941,1,,,
5291,MDS,Morden South,London,Merton (London),Mitcham and Morden,525360,167880,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,22488,22366,27406,72260,88032,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5501,MOR,Mortimer,South East,West Berkshire,Wokingham,467233,164110,Great Western Railway,,,,J.09,Reading - Basingstoke,Wessex,,36274,80688,76786,193748,186084,,,,,
5600,MTL,Mortlake,London,Richmond upon Thames (London),Richmond Park,520465,175770,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,541420,580394,726280,1848094,1931866,,,,,
5645,MOT,Motspur Park,London,Merton (London),Wimbledon,522575,167710,South West Trains,,,London Travelcard Area Station,C.07,Main Line Suburban Lines,Wessex,,286290,335434,531384,1153108,1213232,15266.3527,,,,
5118,MTG,Mottingham,London,Greenwich (London),Eltham,542580,173240,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,325088,346430,644174,1315692,1369100,,,,,
5312,MCB,Moulsecoomb,South East,The City of Brighton and Hove,"Brighton, Pavilion",532530,106930,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,86906,161992,83210,332108,422406,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
7354,NMT,Needham Market,East,Mid Suffolk,Bury St. Edmunds,609110,254880,Greater Anglia,,,,D.12,Ipswich - Norwich,Anglia,,35758,30266,25682,91706,88242,,,,,
5911,NTL,Netley,South East,Eastleigh,Eastleigh,446400,108585,South West Trains,,,,C.11,Cosham - St Denys / Eastleigh,Wessex,,31156,36972,37612,105740,116830,,,,,
6018,NBA,New Barnet,London,Barnet (London),Chipping Barnet,526500,196000,Govia Thameslink Railway,,,London Travelcard Area Station,G.01,Kings Cross - Peterborough,London North East and East Midlands,,407070,395586,463992,1266648,1223090,,,,,
5058,NBC,New Beckenham,London,Bromley (London),Lewisham West and Penge,536720,170470,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,229488,223662,335346,788496,799004,461.6331,,,,
5150,NWX,New Cross,London,Southwark (London),Bermondsey and Old Southwark,535475,179475,Southeastern,,,London Travelcard Area Station,A.03,London - Chislehurst,South East,,725372,1141386,1443970,3310728,3445274,671299.0597,,,,
5345,NXG,New Cross Gate,London,Lewisham (London),"Lewisham, Deptford",536189,176950,London Overground,,,London Travelcard Area Station,B.03,London Bridge - Windmill Bridge Jcn,South East,,1285212,2764014,2564938,6614164,6024528,1046782.276,,,,
5119,NEH,New Eltham,London,Greenwich (London),Eltham,544010,173040,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,578688,543534,1109472,2231694,2288748,,,,,
5238,NHE,New Hythe,South East,Tonbridge and Malling,Chatham and Aylesford,571190,159960,Southeastern,,,,A.11,Strood - Paddock Wood,South East,,39108,38464,47040,124612,107954,,1,,,
5567,NEM,New Malden,London,Kingston upon Thames (London),Kingston and Surbiton,521410,168670,South West Trains,,,London Travelcard Area Station,C.01,Waterloo - Woking,Wessex,,795820,1029402,1156184,2981406,3012520,30396.8459,,,,
5881,NWM,New Milton,South East,New Forest,New Forest West,424234,95184,South West Trains,,,,C.04,Southampton - Weymouth,Wessex,,168306,307572,152076,627954,619686,,,,,
6019,NSG,New Southgate,London,Enfield (London),"Enfield, Southgate",528670,192220,Govia Thameslink Railway,,,London Travelcard Area Station,G.01,Kings Cross - Peterborough,London North East and East Midlands,,277318,220374,339052,836744,836006,,,,,
3074,NBY,Newbury,South East,West Berkshire,Newbury,447205,166730,Great Western Railway,NEWBURY BR,,,J.05,Reading - Newbury,Western,,374804,784730,689512,1849046,1826560,51138.1094,,,,
3071,NRC,Newbury Racecourse,South East,West Berkshire,Newbury,448252,166830,Great Western Railway,NEWBURY BR,,,J.05,Reading - Newbury,Western,,17582,59958,22762,100302,97254,,,,,
5330,NVH,Newhaven Harbour,South East,Lewes,Lewes,544943,100926,Govia Thameslink Railway,NEWHAVEN BR,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,10296,14590,27456,52342,55070,,,,,
5331,NVN,Newhaven Town,South East,Lewes,Lewes,544924,101489,Govia Thameslink Railway,NEWHAVEN BR,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,55860,101468,79088,236416,326310,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5175,NGT,Newington,South East,Swale,Sittingbourne and Sheppey,585914,164965,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,27488,28840,77952,134280,132770,,,,,
7038,NMK,Newmarket,East,Forest Heath,West Suffolk,564400,262700,Greater Anglia,,,,D.08,Cambridge - Chippenham Jcn,Anglia,,94556,128192,141036,363784,324592,,1,,,
7039,NWE,Newport (Essex),East,Uttlesford,Saffron Walden,552231,233584,Greater Anglia,,,,D.05,Stansted - Ely,Anglia,,33062,44014,99066,176142,180136,,,,,
5568,NBT,Norbiton,London,Kingston upon Thames (London),Richmond Park,519435,169545,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,699390,797834,837346,2334570,2354756,,,,,
5428,NRB,Norbury,London,Croydon (London),Croydon North,530710,169720,Govia Thameslink Railway,,,London Travelcard Area Station,B.01,Victoria - Windmill Bridge Jcn,South East,,577046,928138,1978198,3483382,4014210,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5460,NSB,Normans Bay,South East,Rother,Bexhill and Battle,568385,105672,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,1798,5324,1038,8160,11536,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5636,NCM,North Camp,South East,Guildford,Surrey Heath,488600,153725,Great Western Railway,,,,C.09,Guildford - Wokingham,Wessex,,112560,172642,109768,394970,396724,,,,,
5429,NDL,North Dulwich,London,Southwark (London),Camberwell and Peckham,532950,174570,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,198120,203094,221770,622984,799086,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
6875,NFA,North Fambridge,East,Maldon,Maldon,585622,197826,Greater Anglia,,,,D.13,Shenfield - Southend / Southminster,Anglia,,15852,11698,68880,96430,98000,,,,,
5601,NSH,North Sheen,London,Richmond upon Thames (London),Richmond Park,519030,175410,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,139070,138284,234196,511550,536754,,,,,
7308,NWA,North Walsham,East,North Norfolk,North Norfolk,628160,329740,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,Bittern Line,61384,123442,66556,251382,246660,,,,,
1422,NWB,North Wembley,London,Brent (London),Brent North,517660,186220,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,,229104,428244,326984,984332,975708,,,,,
5120,NFL,Northfleet,South East,Gravesham,Gravesham,561621,174435,Southeastern,,,,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,31878,29416,50056,111350,104468,,,,,
1478,NLT,Northolt Park,London,Ealing (London),Ealing North,513827,185570,Chiltern Railways,,,London Travelcard Area Station,M.01,Marylebone - Aynho Jcn,London North Western,,76562,77442,105376,259380,259988,,,,,
6971,NUM,Northumberland Park,London,Haringey (London),Tottenham,534875,191030,Greater Anglia,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,81014,125790,230606,437410,455148,,,,,
7309,NRW,Norwich,East,Norwich,Norwich South,623900,308400,Greater Anglia,,,,D.12,Ipswich - Norwich,Anglia,,748420,2785258,577660,4111338,4048984,454122.366,,,,
5376,NWD,Norwood Junction,London,Croydon (London),Croydon North,534000,168200,London Overground,,,London Travelcard Area Station,B.03,London Bridge - Windmill Bridge Jcn,South East,,940078,1462854,1959620,4362552,4265918,1182762.699,,,,
5068,NHD,Nunhead,London,Southwark (London),Camberwell and Peckham,535390,176005,Govia Thameslink Railway,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,316436,344024,496256,1156716,1196148,,,,,
5262,NUT,Nutbourne,South East,Chichester,Chichester,478740,105766,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,12734,17358,31786,61878,78190,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
